name,scientific_name,description,location,other_data,behaviour,min_size_for_catch,image
Oblada,Oblada melanura,"Cuerpo claramente ovalado y plano de color plateado que refleja la luz, con una mancha negra en la raíz de su cola, su boca está orientada hacia arriba, miden entre 15cm y 30 cm.","Suele encontrarse en mar abierto cercano a la costa, nadando en grupo y a menudo cerca de embarcaciones paradas y a poca profundidad sobre fondos arenosos.","Es una especie omnívora, se alimenta de algas y pequeños invertebrados bentónicos preferentemente.","Van en grupo y forman bancos en mar abierto, suelen revolotear por la superficie marítima.",N/C,https://pecesmediterraneo.com/wp-content/uploads/2019/03/oblada_melanura_2.jpg
Sargo,Diplodus Sargus,"Cuerpo ovalado y muy plano de color plateado, con una mancha negra en la raíz de su cola y encima de los ojos, su boca tiene gruesos labios, algunos tienen bandas verticales oscuras en la parte superior de su cuerpo sobre todo cuando son jóvenes, miden entre 15cm y 30 cm.","Especie claramente costera, viven en las rocas, en las rompientes de las olas y se meten por cavidades. No frecuentan fondos de más de 50m de profundidad.","Se alimentan de organismos que viven en las rocas, pequeños invertebrados, erizos, estrellas de mar, algas.","Los más jóvenes viven en grupos, tienden a ser solitarios en etapas adultas, cuando se sienten amenazados se esconden en cuevas y agujeros rocosos.",23cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/diplodus_sargus_3-.jpg
Sargo Picudo,Diplodus puntazzo,"Cuerpo ovalado y muy plano de color plateado, con una mancha negra en la raíz de su cola la cual termina en color negro, también tiene un pequeña mancha negra en la raíz de su aleta pectoral. Su boca es aguda y alargada, algunos tienen bandas verticales oscurecidas en la parte superior de su cuerpo sobre todo cuando son jóvenes, pueden llegar a medir hasta 50cm.","Especie claramente costera como máximo a 50m de esta, viven en las rocas o en fondos frondosos de alga en hasta 50m de profundidad.","Se nutre de pequeñas esponjas, algas, gusanos, gambas y pequeños moluscos.","Los más jóvenes viven en grupos, tienden a ser solitarios en etapas adultas, cuando se sienten amenazados se esconden en cuevas y agujeros rocosos aunque a veces son algo despistados. Suelen alimentarse en paredes verticales.",18cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/diplodus_puntazzo_3.jpg
"Mojarra, Variada",Diplodus vulgaris,"Forma de cuerpo ovalada, con una prolongada banda negra vertical entre el cuerpo y el inicio de su cabeza, y otra similar en la raíz de la cola, de color plateado-azulado, pueden llegar a medir hasta 40cm.",En zonas de costa entre la frontera de roca y arena o fondos rocosos de no más de 50 m de profundidad.,"Se alimenta de bivalvos, algas, erizos, gusanos de mar, crustáceos, etc…","Suelen juntarse con sargos para ir en grupo con un comportamiento similar, cuando son jóvenes forman bancos y se esconden en cavidades para protegerse de depredadores.",18cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/diplodus_vulgaris_3.jpg
"Raspallón, Esparrall",Diplodus Annularis,"Cuerpo ovalado y muy plano de color plateado-amarillento, es similar a la variada pero más pequeño, unos 18cm de longitud media, tiene una mancha negra en la raíz de la cola y sus aletas son amarillas.",En fondos rocosos o en praderas de algas suspendidos entre ellas.,"Es una especie depredadora, caza gusanos, otros peces pequeños, moluscos, etc.","Suelen desplazarse de forma calmada por el fondo marino, no excesivamente grupales, se unen para desparasitarse entre ellos.",15cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/diplodus_annularis_2.jpg
"Sargo Real, Sargo Breado",Diplodus Cervinus,"Forma ovalada de color plateado con bandas verticales gruesas y oscuras y una mancha negra sobre los ojos, llega hasta los 60cm de longitud, tiene morros gruesos y amplios. Es el más grande de la familia de los Sargos.","Le gustan las aguas cálidas y costeras entre los 2m y los 80m de profundidad, y los fondos de roca, arena o fango.",Son omnívoros aunque prefieren otros animales a algas. Se reproducen de Enero a Abril.,Se puede ver en grupos de 5 a 10 o acompañado de otras especies similares.,15cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/diplodus_cervinus_2.jpg
"Pagel, Breca",Pagellus Erythrinus,"De cuerpo semi ovalado y alargado, su cabeza es de silueta oblicua, tiene una longitud de entre 20cm y 40cm, de color rosado y rojizo plateado, su vientre es más claro que el resto del cuerpo.",Vive en fondos de coral o arenosos y fangosos de entre 10m y 300m.,"Es omnívoro, aunque se alimenta en mayor medida de crustáceos y moluscos pequeños.",Suele vivir en pequeños grupos y en invierno se desplazan a aguas profundas.,15cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/pagellus_erythrinus_2.jpg
Aligote,Pagellus Acarne,"Cuerpo alargado y comprimido, de color gris y rosado, puede llegar a medir hasta 35 cm, aunque normalmente su longitud se sitúa alrededor de los 20 cm.","Vive sobre fondos arenosos o fangosos, entre los 20 y los 200m de profundidad.","A pesar de ser omnívoros prefieren gusanos, moluscos y crustáceos de pequeña talla.",A medida que avanza en edad vive en mayor profundidad.,17cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/pagellus-acarne2.jpg
"Besugo, Gorás","('',)","Cuerpo alargado de tipo fusiforme, alto y con cierta forma ovalada. Resaltan sus grandes ojos con boca pequeña. Su coloración es rojo pardo en la parte superior que se difumina con el plateado progresivamente bajando a su parte inferior. Su tamaño medio es de 35 cm de longitud. Tiene una característica mancha negra mancha oscura en el opérculo superior a principio de la línea lateral.","Los más jóvenes viven próximos a la costa, a medida que se hacen adultos se adentran a las profundidades entre los 100m y los 400m.","Es omnívoro, aunque se alimenta en mayor medida de gusanos, crustáceos y moluscos pequeños.","Los ejemplares jóvenes viven formándo grandes cardúmenes, mientras los que los adultos viven en solitario o en pequeños grupos",33cm,https://pecesmediterraneo.com/wp-content/uploads/2020/05/Pagellus_bogaraveo.jpg
Pargo,Pagrus pagrus,"Cuerpo oval, moderadamente voluminoso, su perfil de la cabeza es convexo, cabeza oscura desde la nuca hasta la boca, son de color rosa plateado, con un toque amarillento en la parte superior del cuerpo.","Vive en aguas poco profundas, nunca a más de 50m sobre fondos arenosos o de roca.",Se alimentan de otros peces pequeños o moluscos (cangrejos).,Normalmente son solitarios aunque a veces se ven pequeños grupos de no más de 4 peces.,15cm,https://pecesmediterraneo.com/wp-content/uploads/2019/03/pagrus_pagrus.jpg
